date,steps,sleep
20160609,9278,7.83333333333
20160608,8038,7.18333333333
20160607,11408,6.8
20160606,8510,7.0
20160603,9210,6.2
20160602,8908,6.58333333333
20160531,8762,6.5
20160530,10155,6.2
20160530,10155,5.91666666667
20160527,8079,7.58333333333
20160526,10058,6.06666666667
20160525,10532,6.23333333333
20160524,10099,7.28333333333
20160524,10099,6.36666666667
20160522,7040,7.16666666667
20160522,7040,6.11666666667
20160520,8800,7.18333333333
20160520,8800,6.63333333333
20160518,8569,7.08333333333
20160517,8589,7.66666666667
20160516,11206,7.21666666667
20160515,12028,6.8
20160514,4569,8.48333333333
20160513,8538,7.56666666667
20160512,8428,7.75
20160511,9575,8.56666666667
20160510,8752,7.28333333333
20160509,8802,7.76666666667
20160508,4176,7.46666666667
20160506,7277,6.5
20160505,13880,6.81666666667
20160504,11204,6.48333333333
20160503,15932,5.85
20160502,10035,6.26666666667
20160430,8488,5.38333333333
20160429,6402,5.61666666667
20160427,10084,7.13333333333
20160427,10084,5.98333333333
20160425,8247,7.25
20160424,8214,7.15
20160424,8214,7.76666666667
20160422,11514,6.45
20160422,11514,6.11666666667
20160419,7951,7.65
20160418,8980,6.83333333333
20160417,9264,7.13333333333
20160416,15869,6.91666666667
20160415,13473,8.1
20160414,9032,6.13333333333
20160413,9574,6.76666666667
20160412,8652,7.98333333333
20160411,8791,7.05027777778
20160411,8791,6.33333333333
20160410,11823,5.06666666667
20160407,8441,6.43333333333
20160406,10056,7.11666666667
20160405,8695,7.98333333333
20160404,9253,6.96666666667
20160403,14968,6.35
20160403,14968,6.95
20160401,9393,8.03333333333
20160331,9613,7.05
20160330,8350,7.31666666667
20160329,10471,6.53333333333
20160329,10471,6.73333333333
20151123,4311,6.98333333333
20150825,11732,7.9
20150814,22516,7.01666666667
20150812,11756,5.8
20150811,12995,6.2
20150811,12995,5.86666666667
20150806,9413,6.85
20150805,13110,6.36666666667
20150803,11749,6.78333333333
20150802,9768,7.11666666667
20150801,18358,7.16666666667
20150730,16334,6.7
20150728,11180,7.4
20150726,6796,6.36666666667
20150725,13803,6.66666666667
20150723,9630,6.48333333333
20150722,11158,7.11666666667
20150721,12196,6.6
20150720,8667,7.41666666667
20150719,14497,7.73333333333
20150718,10375,8.7
20150710,11763,5.95
20150708,9416,7.58333333333
20150708,9416,6.86666666667
20150707,10173,6.91666666667
20150702,10648,8.36666666667
20150628,10937,6.75
20150626,7665,7.16666666667
20150625,9284,6.5
20150623,10719,6.76666666667
20150622,7347,6.93333333333
20150621,10423,6.1
20150619,8432,6.88333333333
20150618,12824,6.08333333333
20150617,10740,7.48333333333
20150611,9217,8.9
20150611,9217,5.78333333333
20150609,6251,5.7
20150607,13548,6.38333333333
20150605,12195,7.76666666667
20150604,11023,6.5
20150603,10933,8.35
20150602,11232,7.35
20150531,12097,6.5
20150529,11195,5.75
20150528,14040,7.05
20150527,13642,6.61666666667
20150524,10877,5.88333333333
20150523,18735,6.55
20150521,11349,6.35
20150519,10559,5.61666666667
20150518,7120,7.38333333333
20150517,17002,7.16666666667
20150517,17002,5.58333333333
20150515,19049,5.71666666667
20150514,12876,6.71666666667
20150513,6496,7.4
20150511,6738,6.53333333333
20150509,7835,6.56666666667
20150508,9696,5.63333333333
20150506,5775,5.5
20150505,6079,6.83333333333
20150429,6796,7.11666666667
20150428,6515,6.96666666667
20150427,9641,6.56666666667
20150426,10531,7.4
20150425,5058,7.58333333333
20150424,8842,7.46666666667
20150424,8842,7.8
20150422,5549,7.21666666667
